"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.532255417E-1,-1.948034978E-1,2.194472460E-1,-1.533305128E-1,3.310826825E-1
9.631555417E-1,-9.240588784E-2,9.282630265E-2,2.099431086E-1,2.474503575E-1
9.730845417E-1,-8.790645540E-2,-1.196557400E-1,5.660378109E-1,5.851870166E-1
9.830145417E-1,-1.255280256E-1,-2.886665118E-1,8.713567543E-1,9.264708487E-1
9.929435417E-1,-1.849269658E-1,-2.790881878E-1,1.034185923E0,1.087027471E0
1.002872542E0,-2.112733501E-1,-2.310933647E-1,1.097883151E0,1.141660188E0
1.012802542E0,-2.450392663E-2,-1.553805466E-1,9.967187190E-1,1.009054885E0
1.022731542E0,8.822045088E-2,5.664015077E-2,6.621166272E-1,6.703651115E-1
1.032661542E0,2.099969029E-1,3.026090513E-1,2.357579809E-1,4.373245508E-1
1.042590542E0,4.433744824E-1,3.896766505E-1,-2.395871763E-1,6.370485371E-1
1.052520542E0,5.947220582E-1,3.770867912E-1,-7.257488054E-1,1.011236917E0
1.062449542E0,6.219613123E-1,3.234879235E-1,-1.005094125E0,1.225436457E0
1.072379542E0,5.954278171E-1,2.754548742E-1,-1.061131062E0,1.247561142E0
1.082308792E0,3.879428780E-1,2.462046164E-1,-9.180286449E-1,1.026592900E0
1.092237792E0,2.142495829E-1,1.330017174E-1,-5.829459120E-1,6.351521683E-1
1.102167792E0,4.046097815E-2,-5.985721573E-3,-1.547917320E-1,1.601043407E-1
1.112096792E0,-2.542252421E-2,-1.452073415E-1,3.207652406E-1,3.530181530E-1
1.122026792E0,1.011159003E-2,-2.805317192E-1,7.278409392E-1,7.800978929E-1
1.131955792E0,1.130570841E-1,-3.490681764E-1,1.006614693E0,1.071402649E0
1.141885792E0,2.170539075E-1,-3.743977299E-1,9.871501891E-1,1.077845794E0
1.151814792E0,4.133180398E-1,-3.917623524E-1,8.011508439E-1,9.829304235E-1
1.161744792E0,6.469780397E-1,-3.190874552E-1,5.642900781E-1,9.158715413E-1
1.171673792E0,7.023342150E-1,-1.875349702E-1,2.458268863E-1,7.673809828E-1
1.181602792E0,5.180878651E-1,1.761890329E-2,6.003190130E-3,5.184221253E-1
1.191532792E0,3.029068208E-1,1.797067179E-1,-4.511945486E-2,3.550814156E-1
1.201461792E0,1.831657845E-1,2.650987975E-1,-5.235158354E-3,3.222646178E-1
1.211391792E0,1.484116888E-1,3.217929619E-1,-7.333139330E-3,3.544439513E-1
1.221320792E0,1.884861660E-1,3.506310640E-1,-5.251033545E-2,4.015302145E-1
1.231250792E0,2.743039960E-1,3.154042941E-1,-1.142149790E-1,4.333216038E-1
1.241179792E0,3.532583642E-1,1.873202312E-1,-1.291205549E-1,4.201814591E-1
1.251109792E0,3.123588449E-1,4.528675832E-2,-9.762365073E-3,3.157756201E-1
1.261038792E0,2.473489165E-1,-1.084336907E-2,2.326244581E-1,3.397251884E-1
1.270967792E0,2.180298078E-1,6.370797269E-3,4.888604115E-1,5.353149410E-1
1.280897792E0,1.924575949E-1,3.156093121E-2,6.448069686E-1,6.736557317E-1
1.290826792E0,2.671189374E-1,6.085124239E-2,5.681254131E-1,6.307312307E-1
1.300756792E0,1.657036597E-1,1.700937492E-1,2.725685424E-1,3.615013093E-1
1.310685792E0,-3.571011543E-2,3.462307419E-1,-1.164765358E-2,3.482622673E-1
1.320615792E0,-1.941801846E-1,5.667368455E-1,-2.598958719E-1,6.530256200E-1
1.330544792E0,-2.258364254E-1,7.165398793E-1,-4.323361087E-1,8.668021692E-1
1.340474792E0,-1.290100425E-1,6.827046736E-1,-5.470912242E-1,8.843291638E-1
1.350403792E0,2.889226198E-2,4.725461682E-1,-6.033082558E-1,7.668868857E-1
1.360332792E0,1.085751933E-1,2.359680056E-1,-5.650685618E-1,6.219099226E-1
1.370262792E0,8.020157933E-2,9.640757605E-2,-2.577861965E-1,2.866713050E-1
1.380191792E0,2.988628864E-2,6.465905886E-2,1.616022764E-1,1.766048694E-1
1.390121792E0,-1.160140210E-1,8.355974492E-2,4.876284032E-1,5.081564165E-1
1.400050792E0,-2.221129185E-1,2.974898871E-2,7.024188535E-1,7.373000723E-1
1.409980792E0,-2.964550030E-1,-1.072934836E-2,7.736281461E-1,8.285536773E-1
1.419909792E0,-2.656126946E-1,1.408331126E-2,7.234888566E-1,7.708336842E-1
1.429839792E0,-1.933568966E-1,1.312709781E-1,5.147641616E-1,5.653327349E-1
1.439768792E0,-8.215981185E-2,2.393377925E-1,1.417593116E-1,2.900491614E-1
1.449697792E0,-8.336492300E-2,2.999428672E-1,-2.503614020E-1,3.994950132E-1
1.459627792E0,-1.312220442E-1,3.112453157E-1,-5.122665234E-1,6.136039948E-1
1.469556792E0,-1.591015685E-1,2.886675350E-1,-5.981187057E-1,6.829262340E-1
1.479486792E0,-1.939433724E-1,2.964984186E-1,-5.244127983E-1,6.328776556E-1
1.489415792E0,-2.814305824E-1,2.787855944E-1,-3.799006176E-1,5.488616033E-1
1.499345792E0,-3.098299241E-1,2.521480919E-1,-2.337308975E-1,4.628211042E-1
1.509274792E0,-3.014701599E-1,2.241436199E-1,-2.768028036E-2,3.766839757E-1
1.519204792E0,-2.423735207E-1,1.740365267E-1,2.076594785E-1,3.635327979E-1
1.529133792E0,-1.345572960E-1,1.543765797E-1,3.380380619E-1,3.952309774E-1
1.539062792E0,-3.477046788E-2,1.255117631E-1,3.404539852E-1,3.645148888E-1
1.548992792E0,9.983185172E-2,1.000190357E-1,2.101838677E-1,2.532734971E-1
1.558921792E0,1.914974821E-1,1.520909762E-1,-1.295012087E-3,2.445498471E-1
1.568851792E0,2.005402011E-1,2.311178864E-1,-2.064758559E-1,3.691397144E-1
1.578780792E0,1.428392923E-1,3.060442905E-1,-2.707214069E-1,4.328466834E-1
1.588710792E0,9.923485100E-2,3.316602114E-1,-3.031904107E-1,4.601852634E-1
1.598639792E0,8.266793489E-2,2.874400583E-1,-2.373723972E-1,3.818395337E-1
1.608569792E0,1.375270969E-1,1.498164824E-1,-7.296155691E-2,2.160603377E-1
1.618498792E0,2.412935400E-1,2.666812733E-2,6.975903690E-2,2.525867865E-1
1.628427792E0,1.989994597E-1,-3.519073650E-2,1.692909265E-1,2.636258536E-1
1.638357792E0,8.489280045E-2,-9.011608165E-2,2.868950978E-1,3.124683870E-1
1.648286792E0,-6.680151522E-2,-7.950049818E-2,3.761192232E-1,3.901902635E-1
1.658216792E0,-1.615743560E-1,-3.849781204E-2,3.431904821E-1,3.812716368E-1
1.668145792E0,-1.772934258E-1,-2.693848796E-3,2.530147223E-1,3.089606211E-1
1.678075792E0,-1.175734735E-1,7.651695639E-2,9.518682361E-2,1.695255074E-1
1.688004792E0,-2.496819556E-2,1.638485939E-1,-1.696780852E-1,2.371928016E-1
1.697934792E0,3.616502881E-2,1.867177487E-1,-3.777261843E-1,4.229048324E-1
1.707863792E0,1.353121716E-1,2.017356643E-1,-4.608623350E-1,5.209613746E-1
1.717792792E0,1.662679160E-1,1.934033455E-1,-4.418098406E-1,5.101429301E-1
1.727722792E0,1.298707527E-1,1.379036576E-1,-3.268722188E-1,3.777952867E-1
1.737651792E0,-1.261361361E-2,1.200092042E-1,-1.831504355E-1,2.193294198E-1
1.747581792E0,-1.837282866E-1,1.297875760E-1,-3.628314257E-2,2.278538230E-1
1.757510792E0,-3.187831807E-1,1.185976864E-1,1.122988464E-1,3.581887190E-1
1.767440792E0,-3.879995960E-1,1.196770093E-1,2.118440384E-1,4.579783506E-1
1.777369792E0,-3.085891449E-1,1.056806023E-1,1.848888128E-1,3.749393593E-1
1.787298792E0,-1.353876007E-1,6.993489191E-2,9.570430219E-2,1.799444497E-1
1.797228792E0,1.460201776E-1,4.342178889E-2,-4.482051596E-2,1.587961670E-1
1.807157792E0,3.382017839E-1,6.878956854E-3,-1.945503134E-1,3.902276145E-1
1.817087792E0,3.721150500E-1,4.111469686E-3,-2.235770613E-1,4.341350215E-1
1.827016792E0,3.456026047E-1,5.112878457E-2,-1.721864676E-1,3.894913255E-1
1.836946792E0,2.836496007E-1,4.430954240E-2,-9.157156326E-2,3.013399787E-1
1.846875792E0,1.808958954E-1,-1.323436864E-2,1.735906765E-2,1.822081521E-1
1.856805792E0,5.213962197E-3,-6.330107957E-2,1.210303473E-1,1.366841507E-1
1.866734792E0,-1.793557388E-1,-8.428779636E-2,1.992285975E-1,2.810070243E-1
1.876663792E0,-2.992230749E-1,-9.054490183E-2,2.225952407E-1,3.837726788E-1
1.886593792E0,-2.914304906E-1,-9.754814856E-2,2.073128848E-1,3.707101352E-1
1.896522792E0,-1.614322686E-1,-9.299134031E-2,9.530142903E-2,2.092609115E-1
1.906452792E0,-2.995528579E-3,-7.190825410E-2,-1.081593101E-1,1.299161520E-1
1.916381792E0,1.514206660E-1,-9.748112485E-3,-3.856531814E-1,4.144292704E-1
1.926311792E0,2.003267777E-1,7.082352251E-2,-6.240744960E-1,6.592539464E-1
1.936240792E0,2.093075162E-1,7.068742856E-2,-6.399917865E-1,6.770493598E-1
1.946170792E0,2.147577059E-1,1.541048303E-2,-4.289762986E-1,4.799781453E-1
1.956099792E0,2.481330281E-1,-2.379465938E-2,-9.783970535E-2,2.677849761E-1
1.966028792E0,3.353892732E-1,-4.468953833E-2,2.250803804E-1,4.063794988E-1
1.975958792E0,3.653387117E-1,-1.006911001E-1,4.334172589E-1,5.757270119E-1
1.985887792E0,3.301367193E-1,-1.092658225E-1,4.914220767E-1,6.020173842E-1
1.995817792E0,3.053837013E-1,-4.882973246E-2,4.090073262E-1,5.127675309E-1
2.005746792E0,2.374723846E-1,3.474678665E-2,1.880224818E-1,3.048818235E-1
2.015676792E0,1.149890041E-1,5.661259577E-2,-6.190798044E-2,1.423378204E-1
2.025605792E0,-5.564210415E-3,7.772016719E-2,-2.743326473E-1,2.851837762E-1
2.035535792E0,-1.511043316E-1,1.297796092E-1,-4.013275932E-1,4.480391758E-1
2.045464792E0,-1.618176001E-1,1.488394126E-1,-3.827581519E-1,4.414090046E-1
2.055393792E0,-1.419850141E-1,1.281132989E-1,-3.318079998E-1,3.829742946E-1
2.065323792E0,-1.397274041E-1,1.359422091E-1,-1.981498593E-1,2.779701394E-1
2.075252500E0,-1.601493895E-1,9.883957922E-2,2.186449349E-2,1.894601421E-1
2.085182500E0,-1.009241116E-1,9.052765254E-2,2.843054391E-1,3.149770069E-1
2.095111500E0,-1.315214217E-2,9.092902735E-2,5.015080851E-1,5.098543187E-1
2.105041500E0,7.750601292E-2,9.542202786E-2,5.408177465E-1,5.546137218E-1
2.114970500E0,8.366722405E-2,9.128409952E-2,4.477341664E-1,4.645415751E-1
2.124900500E0,-1.071326852E-2,4.695789255E-2,3.436342858E-1,3.469932855E-1
2.134829500E0,-1.184938252E-1,1.071078345E-1,2.184484684E-1,2.706152401E-1
2.144758500E0,-2.026545542E-1,2.063247784E-1,7.252199247E-2,2.981580486E-1
2.154688500E0,-2.654945809E-1,2.121404191E-1,-2.701340541E-2,3.409115046E-1
2.164617500E0,-2.980050999E-1,1.747842394E-1,-8.943082452E-2,3.568675416E-1
2.174547500E0,-2.002338070E-1,1.429568213E-1,-4.438738346E-2,2.500009401E-1
2.184476500E0,-7.071622610E-2,1.319575509E-1,4.849373683E-2,1.573696997E-1
2.194406500E0,2.560144901E-2,3.144508325E-2,2.039291011E-1,2.079213931E-1
2.204335500E0,4.781268239E-2,-6.811088953E-2,4.055727448E-1,4.140222183E-1
2.214264500E0,4.602284968E-2,-8.212969869E-2,5.780949157E-1,5.857107833E-1
2.224194500E0,5.396512270E-2,-6.754677940E-2,6.702317586E-1,6.757850339E-1
2.234123500E0,8.945655227E-3,-4.619629271E-2,6.498792820E-1,6.515805425E-1
2.244053500E0,4.288347960E-3,-2.398776367E-2,5.110723758E-1,5.116529840E-1
2.253982500E0,3.534758806E-2,2.579568621E-2,3.024793162E-1,3.056282156E-1
2.263912500E0,6.002166867E-2,4.778264232E-2,7.511727914E-2,1.073703276E-1
2.273841500E0,1.670093429E-1,7.309030529E-2,-8.784162439E-2,2.023622107E-1
2.283771500E0,1.910250270E-1,1.750713377E-1,-2.317134619E-1,3.476084905E-1
2.293700500E0,1.392590421E-1,3.126884451E-1,-3.381428001E-1,4.811524683E-1
2.303629500E0,8.559680521E-2,4.329551826E-1,-3.703287256E-1,5.761253060E-1
2.313559500E0,1.134535253E-1,5.392056326E-1,-2.108050612E-1,5.899603296E-1
2.323488500E0,2.397574764E-1,6.722301176E-1,3.704211116E-2,7.146671229E-1
2.333418500E0,4.389498943E-1,9.020777330E-1,3.667712796E-1,1.068149061E0
2.343347500E0,6.004558378E-1,1.343463724E0,7.126667567E-1,1.635033913E0
2.353277500E0,4.697957110E-1,1.878768423E0,1.068961653E0,2.212048330E0
2.363206500E0,1.200983012E-1,2.373335571E0,1.265544459E0,2.692349923E0
2.373136500E0,-4.185349256E-1,2.871369679E0,1.399696543E0,3.221658847E0
2.383065500E0,-9.504958946E-1,3.503926730E0,1.455751606E0,3.911541604E0
2.392994500E0,-1.480952375E0,4.052905143E0,1.338964437E0,4.517973639E0
2.402924500E0,-1.787967449E0,4.525907760E0,1.103162748E0,4.989753170E0
2.412853500E0,-1.969877252E0,5.038007199E0,9.550912213E-1,5.493098594E0
2.422783500E0,-1.586936667E0,5.564692810E0,9.924824113E-1,5.871047214E0
2.432712500E0,-5.261119992E-1,6.061810221E0,1.031606716E0,6.171430094E0
2.442642500E0,2.094981354E-1,6.273889902E0,8.522509041E-1,6.334975578E0
2.452571500E0,7.026154661E-1,6.186717272E0,7.641942483E-1,6.273207469E0
2.462501500E0,9.220398349E-1,6.129123952E0,8.170969319E-1,6.251716986E0
2.472430500E0,3.893011862E-1,5.743065047E0,8.476333579E-1,5.818318817E0
2.482359500E0,-3.012046963E-1,5.277937753E0,1.146229538E0,5.409361640E0
2.492289500E0,-7.138263327E-1,5.269775040E0,1.598175015E0,5.552858758E0
2.502218500E0,-1.213095519E0,5.487103182E0,1.625098520E0,5.849858739E0
2.512148500E0,-1.576266668E0,5.531910980E0,1.120079182E0,5.860139339E0
2.522077500E0,-1.434800887E0,5.737796121E0,5.050438964E-1,5.935994209E0
2.532007500E0,-1.050918900E0,6.112176967E0,1.683237970E-2,6.201888514E0
2.541936500E0,-7.814657539E-1,5.909453416E0,-5.438910431E-1,5.985661690E0
2.551865500E0,-4.414864165E-1,5.129295684E0,-1.365585641E0,5.326294079E0
2.561795500E0,-1.156965172E-1,3.917867206E0,-2.202958962E0,4.496231458E0
2.571724500E0,3.933562303E-1,2.692720576E0,-2.700296229E0,3.833676166E0
2.581654500E0,8.344087833E-1,1.553524653E0,-2.939332743E0,3.427733047E0
2.591583500E0,9.707313538E-1,1.033527526E-1,-2.707156182E0,2.877793555E0
2.601513500E0,6.527650291E-1,-1.668380487E0,-1.710522978E0,2.476991016E0
2.611442500E0,1.734447885E-1,-3.280607824E0,2.336879204E-1,3.293490676E0
2.621372500E0,-2.315789759E-1,-4.911927781E0,2.119398158E0,5.354671969E0
2.631301500E0,-9.650367504E-1,-6.599201499E0,3.137845130E0,7.370673539E0
2.641230500E0,-1.609684090E0,-8.165172974E0,2.980945038E0,8.840088568E0
2.651160500E0,-1.749372903E0,-9.530791944E0,1.820432360E0,9.859527099E0
2.661089500E0,-1.960370849E0,-1.050720328E1,2.696671905E-1,1.069191728E1
2.671019500E0,-2.141672541E0,-1.147188862E1,-1.149826307E0,1.172659756E1
2.680948500E0,-1.935857567E0,-1.272661222E1,-2.413264014E0,1.309725339E1
2.690878500E0,-1.403503665E0,-1.413163850E1,-3.001505603E0,1.451489115E1
2.700807500E0,-1.413355054E0,-1.500173693E1,-2.542868718E0,1.528122589E1
2.710737500E0,-2.078077054E0,-1.500450851E1,-1.325797677E0,1.520563775E1
2.720666500E0,-2.727896256E0,-1.408168690E1,1.824331284E-1,1.434463683E1
2.730595500E0,-2.767469042E0,-1.251355137E1,1.420225532E0,1.289437449E1
2.740525500E0,-2.155131077E0,-1.109820827E1,1.846533161E0,1.145532633E1
2.750454500E0,-8.761397767E-1,-1.012265530E1,1.776719745E0,1.031467422E1
2.760384500E0,5.882813501E-1,-9.307217807E0,1.291416049E0,9.414782720E0
2.770313500E0,1.749604452E0,-8.783021940E0,6.045909888E-1,8.975974621E0
2.780243500E0,2.513629716E0,-8.421726578E0,1.292819381E-2,8.788855445E0
